Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Loup gris de l'Arctique,,Données insuffisantes,1999-04-01,Canis lupus arctos,,,Aucun statut,,Aucune annexe,,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,,
Loup gris du Nord,,Non en péril,1999-04-01,Canis lupus occidentalis,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,
Loup gris du Sud,,Non en péril,1999-04-01,Canis lupus nubilus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Mammifères terrestres,,
Loup ocellé,,Non en péril,2003-05-01,Anarrhichthys ocellatus,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,,
Loup tacheté,,Menacée,2012-11-25,Anarhichas minor,Loup tacheté,,Menacée,2003-06-05,Annexe 1,2003-06-05,"Océan Arctique, Océan Atlantique",Poissons marins,,Ajout à la liste
Loutre de mer,,Préoccupante,2022-05-11,Enhydra lutris,Loutre de mer,,Préoccupante,2009-03-05,Annexe 1,2003-06-05,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,Rétrograder: Menacée à préoccupante
Lupin densiflore,,En voie de disparition,2005-05-05,Lupinus densiflorus,Lupin densiflore,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Lupin des ruisseaux,,En voie de disparition,2002-11-01,Lupinus rivularis,Lupin des ruisseaux,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Lupin d’Orégon,,Disparue du pays,2008-11-28,Lupinus oreganus,Lupin d’Orégon,,Disparue du pays,2011-02-04,Annexe 1,2011-02-04,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Lupin élégant,,En voie de disparition,2009-04-26,Lupinus lepidus,Lupin élégant,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Lutin,,Non active,2001-11-01,Occella impi,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons marins,,
Lutin givré,,Disparue du pays,2019-05-03,Callophrys irus,Lutin givré,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Ontario,Arthropodes,,Ajout à la liste
Lynx du Canada,,Non en péril,2001-05-01,Lynx canadensis,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,
Lyogyre roux,,Données insuffisantes,2003-11-01,Lyogyrus granum,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse",Mollusques,,
Lyonie faux-troène,,En voie de disparition,2020-11-04,Lyonia ligustrina,Lyonie faux-troène,,Aucun statut,,Aucune annexe,,Nouvelle-Écosse,Plantes vasculaires,Un ajout,En attente
Macounie luisante,,Disparue,2002-11-01,Neomacounia nitida,,,Aucun statut,,Aucune annexe,,Ontario,Mousses,,
Magnolia acuminé,,En voie de disparition,2010-04-25,Magnolia acuminata,Magnolia acuminé,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Marah d'Orégon,,En voie de disparition,2022-12-03,Marah oregana,Marah d'Orégon,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,Un ajout,En attente
Maraîche,,En voie de disparition,2014-05-02,Lamna nasus,Maraîche,,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Marbré insulaire,,Disparue du pays,2022-12-03,Euchloe ausonides insulanus,Marbré insulaire,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Arthropodes,,Ajout à la liste
Marmotte de l’île de Vancouver,,En voie de disparition,2019-05-03,Marmota vancouverensis,Marmotte de l’île de Vancouver,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Mammifères terrestres,,Ajout à la liste
Marsouin commun,Population de l'Atlantique Nord-Ouest,Préoccupante,2022-05-11,Phocoena phocoena,Marsouin commun,Population de l'Atlantique Nord-Ouest,,2006-04-06,,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,Renvoyer
Marsouin commun,Population de l'océan Pacifique,Préoccupante,2016-04-29,Phocoena phocoena vomerina,Marsouin commun,Population de l'océan Pacifique,Préoccupante,2005-07-14,Annexe 1,2005-07-14,"Colombie-Britannique, Océan Arctique, Océan Pacifique",Mammifères marins,,Ajout à la liste
Marsouin de Dall,,Non en péril,1989-04-01,Phocoenoides dalli,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Marsouin gris,,Non en péril,1990-04-01,Grampus griseus,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Martinet ramoneur,,Menacée,2018-04-27,Chaetura pelagica,Martinet ramoneur,,Menacée,2009-03-05,Annexe 1,2009-03-05,"Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,,Ajout à la liste
Martinet sombre,,En voie de disparition,2015-05-01,Cypseloides niger,Martinet sombre,,En voie de disparition,2019-05-22,Annexe 1,2019-05-22,"Alberta, Colombie-Britannique",Oiseaux,,Ajout à la liste
Martre d'Amérique,Population de Terre-Neuve,Préoccupante,2022-05-11,Martes americana atrata,Martre d'Amérique,Population de Terre-Neuve,Menacée,,Annexe 1,2003-06-05,Terre-Neuve-et-Labrador,Mammifères terrestres,Changement de statut,En attente
Massasauga,désignation initiale,Non active,2012-11-25,Sistrurus catenatus,Massasauga,,Aucun statut,2018-02-02,Aucune annexe,2005-01-12,Ontario,Reptiles,,Retirer - Réaffectation ES
Massasauga de l'Est,,Menacée,2025-05-08,Sistrurus catenatus,Massasauga,,Aucun statut,,Aucune annexe,,Ontario,Reptiles,Un ajout,En attente
Massasauga,Population carolinienne,Non active,2025-05-08,Sistrurus catenatus,Massasauga,Population carolinienne,En voie de disparition,2018-02-02,Annexe 1,2005-01-12,Ontario,Reptiles,,Promouvoir: Menacée à en voie de disparition
Massasauga,Population des Grands Lacs et du Saint-Laurent,Non active,2025-05-08,Sistrurus catenatus,Massasauga,Population des Grands Lacs et du Saint-Laurent,Menacée,,Annexe 1,2005-01-12,Ontario,Reptiles,,
Mauve de Virginie,,En voie de disparition,2010-04-25,Sida hermaphrodita,Mauve de Virginie,,En voie de disparition,2012-06-20,Annexe 1,2012-06-20,Ontario,Plantes vasculaires,,Ajout à la liste
Méconelle d'Orégon,,En voie de disparition,2005-05-05,Meconella oregana,Méconelle d'Orégon,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Méné à grande bouche,,Non en péril,2003-11-01,Notropis dorsalis,Méné à grande bouche,,,,,,Manitoba,Poissons d'eau douce,,
Méné à grandes écailles,,Non active,2012-05-04,Macrhybopsis storeriana,Méné à grandes écailles,,Aucun statut,2019-08-08,Aucune annexe,2003-06-05,"Manitoba, Ontario",Poissons d'eau douce,,Retirer - Réaffectation ES
Méné à grandes écailles,Populations de la rivière Saskatchewan et du fleuve Nelson,Non en péril,2012-05-04,Macrhybopsis storeriana,,,Aucun statut,,Aucune annexe,,Manitoba,Poissons d'eau douce,,
Méné à grandes écailles,Populations des Grands Lacs et du haut Saint-Laurent,En voie de disparition,2012-05-04,Macrhybopsis storeriana,Méné à grandes écailles,Populations des Grands Lacs et du haut Saint-Laurent,En voie de disparition,2019-08-08,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,Promouvoir: Préoccupante à en voie de disparition
Méné bâton,,Non en péril,1988-04-01,Nocomis micropogon,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Méné camus,,Menacée,2013-05-03,Notropis anogenus,Méné camus,,Menacée,2019-08-08,Annexe 1,2005-01-12,Ontario,Poissons d'eau douce,,Rétrograder: En voie de disparition à menacée
Méné d'argent de l'Est,,Non en péril,1997-04-01,Hybognathus regius,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Poissons d'eau douce,,
Méné d'argent de l'Ouest,,Menacée,2017-11-01,Hybognathus argyritis,Méné d'argent de l'Ouest,,Menacée,2003-06-05,Annexe 1,2003-06-05,Alberta,Poissons d'eau douce,,Ajout à la liste
Méné d'herbe,,Préoccupante,2013-05-03,Notropis bifrenatus,Méné d'herbe,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Méné d'ombre,,Non en péril,1988-04-01,Lythrurus umbratilis,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Méné de lac,Populations des sources chaudes du nord de la Colombie-Britannique,Non active,2018-11-01,Couesius plumbeus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Méné de lac,Populations des sources thermales de la Liard,Menacée,2018-11-01,Couesius plumbeus,Méné de lac,Populations des sources thermales de la Liard,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Méné de lac,Populations des sources thermales d’Atlin,Menacée,2018-11-01,Couesius plumbeus,Méné de lac,Populations des sources thermales d’Atlin,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Méné des plaines,,Menacée,2012-05-04,Hybognathus placitus,Méné des plaines,,Menacée,2019-08-08,Annexe 1,2019-08-08,Saskatchewan,Poissons d'eau douce,,Ajout à la liste
Méné diamant,,Non en péril,1999-04-01,Notropis texanus,,,Aucun statut,,Aucune annexe,,Manitoba,Poissons d'eau douce,,
Méné fantôme,,Non en péril,1993-04-01,Notropis buchanani,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Méné laiton,Population de l'ouest de l'Arctique,Préoccupante,2022-05-11,Hybognathus hankinsoni,Méné laiton,Population de l'ouest de l'Arctique,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique",Poissons d'eau douce,Un ajout,En attente
Méné laiton,Population de la rivière Missouri,Préoccupante,2022-05-11,Hybognathus hankinsoni,Méné laiton,Population de la rivière Missouri,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Poissons d'eau douce,Un ajout,En attente
Méné laiton,Population du Pacifique,Préoccupante,2022-05-11,Hybognathus hankinsoni,Méné laiton,Population du Pacifique,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Méné long,,En voie de disparition,2017-11-01,Clinostomus elongatus,Méné long,,En voie de disparition,2017-04-13,Annexe 1,2017-04-13,Ontario,Poissons d'eau douce,,Ajout à la liste
Méné miroir,,Menacée,2011-05-06,Notropis photogenis,Méné miroir,,Menacée,2019-08-08,Annexe 1,2019-08-08,Ontario,Poissons d'eau douce,,Ajout à la liste
Méné rayé,,Non en péril,1993-04-01,Luxilus chrysocephalus,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Menton noir,,Non en péril,1994-04-01,Notropis heterodon,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario, Québec",Poissons d'eau douce,,
Merle-bleu de l'Est,,Non en péril,1996-04-01,Sialia sialis,,,Aucun statut,,Aucune annexe,,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,,
Merluche blanche,Population de l’Atlantique et du nord du golfe du Saint-Laurent,Menacée,2013-11-01,Urophycis tenuis,Merluche blanche,Population de l’Atlantique et du nord du golfe du Saint-Laurent,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Merluche blanche,Population du sud du golfe du Saint-Laurent,En voie de disparition,2013-11-01,Urophycis tenuis,Merluche blanche,Population du sud du golfe du Saint-Laurent,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Mésange lapone,,En voie de disparition,2024-05-09,Poecile cinctus,Mésange lapone,,Aucun statut,,Aucune annexe,,"Territoires-du-Nord-Ouest, Yukon",Oiseaux,Un ajout,En attente
Meunier de la cordillère,,Menacée,2022-12-03,Pantosteus bondi,Meunier de la cordillère,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Meunier de Salish,,En voie de disparition,2024-05-09,Catostomus sp. cf. catostomus,Meunier de Salish,,Menacée,,Annexe 1,2005-01-12,Colombie-Britannique,Poissons d'eau douce,Changement de statut,En attente
Meunier des montagnes,,Non active,2010-11-26,Catostomus platyrhynchus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Saskatchewan",Poissons d'eau douce,,
Meunier des montagnes,Populations de la rivière Milk,Non active,2022-12-03,Catostomus platyrhynchus,Meunier des montagnes,Populations de la rivière Milk,Menacée,2017-04-13,Annexe 1,2017-04-13,"Alberta, Saskatchewan",Poissons d'eau douce,,Ajout à la liste
Meunier des montagnes,Populations de la rivière Saskatchewan et du fleuve Nelson,Non active,2022-12-03,Catostomus platyrhynchus,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Poissons d'eau douce,,
Meunier des montagnes,Populations du Pacifique,Non active,2022-12-03,Catostomus platyrhynchus,Meunier des montagnes,Populations du Pacifique,Préoccupante,2017-04-13,Annexe 1,2017-04-13,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Meunier des plaines,Population de la rivière Missouri,Menacée,2022-12-03,Pantosteus jordani,Meunier des plaines,Population de la rivière Missouri,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Poissons d'eau douce,Un ajout,En attente
Meunier des plaines,Population de la rivière Saskatchewan et du fleuve Nelson,Préoccupante,2022-12-03,Pantosteus jordani,Meunier des plaines,Population de la rivière Saskatchewan et du fleuve Nelson,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Poissons d'eau douce,Un ajout,En attente
Meunier tacheté,,Préoccupante,2014-11-28,Minytrema melanops,Meunier tacheté,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,Ajout à la liste
Micocoulier rabougri,,Menacée,2003-11-01,Celtis tenuifolia,Micocoulier rabougri,,Menacée,2005-07-14,Annexe 1,2005-07-14,Ontario,Plantes vasculaires,,Ajout à la liste
Microséris de Bigelow,,En voie de disparition,2006-04-29,Microseris bigelovii,Microséris de Bigelow,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Milandre,,Préoccupante,2021-05-05,Galeorhinus galeus,Milandre,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,"Colombie-Britannique, Océan Pacifique",Poissons marins,,Ajout à la liste
Minuartie de la serpentine,,Non en péril,2006-04-29,Minuartia marcescens,,,Aucun statut,,Aucune annexe,,"Québec, Terre-Neuve-et-Labrador",Plantes vasculaires,,
Minuartie naine,,En voie de disparition,2004-05-01,Minuartia pusilla,Minuartie naine,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Monarque,,En voie de disparition,2016-11-27,Danaus plexippus,Monarque,,En voie de disparition,2023-12-08,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Arthropodes,,Promouvoir: Préoccupante à en voie de disparition
Moqueur des armoises,,En voie de disparition,2021-12-01,Oreoscoptes montanus,Moqueur des armoises,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique, Saskatchewan",Oiseaux,,Ajout à la liste
Mormon,Population des montagnes du Sud,En voie de disparition,2014-05-02,Apodemia mormo,Mormon,Population des montagnes du Sud,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Arthropodes,,Ajout à la liste
Mormon,Population des Prairies,Préoccupante,2014-05-02,Apodemia mormo,Mormon,Population des Prairies,Préoccupante,2018-02-02,Annexe 1,2005-01-12,Saskatchewan,Arthropodes,,Rétrograder: Menacée à préoccupante
Morse de l'Atlantique,,Non active,2017-04-28,Odobenus rosmarus rosmarus,Morse de l'Atlantique,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Océan Arctique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Morse de l'Atlantique,Population de l'Atlantique Nord-Ouest,Non active,2006-04-29,Odobenus rosmarus rosmarus,Morse de l'Atlantique,Population de l'Atlantique Nord-Ouest,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,Ajout à la liste
Morse de l'Atlantique,Population de l'est de l'Arctique,Non active,2006-04-29,Odobenus rosmarus rosmarus,,,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Morse de l'Atlantique,"Population de la Nouvelle-Écosse, de Terre-Neuve et du golfe du Saint-Laurent",Disparue,2017-04-28,Odobenus rosmarus rosmarus,,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Morse de l'Atlantique,Population du centre de l’Arctique et du Bas-Arctique,Préoccupante,2017-04-28,Odobenus rosmarus rosmarus,Morse de l'Atlantique,Population du centre de l’Arctique et du Bas-Arctique,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Ontario, Québec, Terre-Neuve-et-Labrador",Mammifères marins,Un ajout,En attente
Morse de l'Atlantique,Population du Haut-Arctique,Préoccupante,2017-04-28,Odobenus rosmarus rosmarus,Morse de l'Atlantique,Population du Haut-Arctique,Aucun statut,,Aucune annexe,,"Nunavut, Océan Arctique",Mammifères marins,Un ajout,En attente
Morue franche,,Non active,2003-05-01,Gadus morhua,Morue franche,,,,,,Océan Atlantique,Poissons marins,,
Morue franche,Population de l'Arctique,Non active,2010-04-25,Gadus morhua,Morue franche,Population de l'Arctique,Aucun statut,2006-04-06,Aucune annexe,,Océan Arctique,Poissons marins,,Renvoyer
Morue franche,Population de Terre-Neuve-et-Labrador,En voie de disparition,2010-04-25,Gadus morhua,Morue franche,Population de Terre-Neuve-et-Labrador,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Morue franche,Population des lacs de l'Arctique,Préoccupante,2010-04-25,Gadus morhua,Morue franche,Population des lacs de l'Arctique,Aucun statut,,Aucune annexe,,Nunavut,Poissons marins,Un ajout,En attente
Morue franche,Population des Maritimes,Non active,2010-04-25,Gadus morhua,Morue franche,Population des Maritimes,Aucun statut,2006-04-06,Aucune annexe,,Océan Atlantique,Poissons marins,,Ne pas inscrire
Morue franche,Population du Sud,En voie de disparition,2010-04-25,Gadus morhua,Morue franche,Population du Sud,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Morue franche,Population marine de l'Arctique,Données insuffisantes,2010-04-25,Gadus morhua,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,,
Morue franche,Population nord-laurentienne,En voie de disparition,2010-04-25,Gadus morhua,Morue franche,Population nord-laurentienne,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Morue franche,Population sud-laurentienne,En voie de disparition,2010-04-25,Gadus morhua,Morue franche,Population sud-laurentienne,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Mouche tachinide des dunes,,Préoccupante,2011-05-06,Germaria angustata,Mouche tachinide des dunes,,Préoccupante,2017-02-03,Annexe 1,2017-02-03,Yukon,Arthropodes,,Ajout à la liste
Moucherolle à côtés olive,,Préoccupante,2018-04-27,Contopus cooperi,Moucherolle à côtés olive,,Préoccupante,2023-02-03,Annexe 1,2010-02-23,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Rétrograder: Menacée à préoccupante
Moucherolle gris,,Non en péril,1992-04-01,Empidonax wrightii,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Oiseaux,,
Moucherolle vert,,En voie de disparition,2010-04-25,Empidonax virescens,Moucherolle vert,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Oiseaux,,Ajout à la liste
Mouette blanche,,En voie de disparition,2023-12-01,Pagophila eburnea,Mouette blanche,,En voie de disparition,2009-03-05,Annexe 1,2003-06-05,"Nunavut, Océan Arctique, Océan Atlantique, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,Promouvoir: Préoccupante à en voie de disparition
Mouette rosée,,En voie de disparition,2021-05-05,Rhodostethia rosea,Mouette rosée,,Menacée,,Annexe 1,2003-06-05,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Terre-Neuve-et-Labrador",Oiseaux,Changement de statut,En attente
Mulette du Necture,,En voie de disparition,2011-05-06,Simpsonaias ambigua,Mulette du Necture,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Mollusques,,Ajout à la liste
Mulette feuille d'érable,Population de la rivière Saskatchewan et du fleuve Nelson,Menacée,2016-11-27,Quadrula quadrula,Mulette feuille d'érable,Population de la rivière Saskatchewan et du fleuve Nelson,Menacée,2019-08-08,Annexe 1,2013-03-08,Manitoba,Mollusques,,Rétrograder: En voie de disparition à menacée
Mulette feuille d'érable,Population des Grands Lacs et du haut Saint-Laurent,Préoccupante,2016-11-27,Quadrula quadrula,Mulette feuille d'érable,Population des Grands Lacs et du haut Saint-Laurent,Préoccupante,2019-08-08,Annexe 1,2013-03-08,Ontario,Mollusques,,Rétrograder: Menacée à préoccupante
Mulette verruqueuse,,Menacée,2021-05-05,Cyclonaias tuberculata,Mulette verruqueuse,,Aucun statut,,Aucune annexe,,Ontario,Mollusques,Un ajout,En attente
Mûrier rouge,,En voie de disparition,2014-11-28,Morus rubra,Mûrier rouge,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Musaraigne de Bendire,,En voie de disparition,2016-04-29,Sorex bendirii,Musaraigne de Bendire,,En voie de disparition,2007-12-13,Annexe 1,2003-06-05,Colombie-Britannique,Mammifères terrestres,,Promouvoir: Menacée à en voie de disparition
Musaraigne de Gaspé,,Non en péril,2006-04-29,Sorex gaspensis,Musaraigne de Gaspé,,,,,,"Nouveau-Brunswick, Nouvelle-Écosse, Québec",Mammifères terrestres,,
Narval,,Non en péril,2024-05-09,Monodon monoceros,Narval,,Aucun statut,,Aucune annexe,,"Nunavut, Océan Arctique, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Naseux d'Umatilla,,Menacée,2010-04-25,Rhinichthys umatilla,Naseux d'Umatilla,,,,,,Colombie-Britannique,Poissons d'eau douce,,
Naseux de la Nooksack,,En voie de disparition,2018-11-01,Rhinichthys cataractae,Naseux de la Nooksack,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Naseux des rapides de Banff,,Disparue,2000-05-01,Rhinichthys cataractae smithi,,,Aucun statut,,Aucune annexe,,Alberta,Poissons d'eau douce,,
Naseux léopard,,Non en péril,1990-04-01,Rhinichthys falcatus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Naseux moucheté,,En voie de disparition,2016-11-27,Rhinichthys osculus,Naseux moucheté,,En voie de disparition,2009-03-05,Annexe 1,2009-03-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Nécrophore d’Amérique,,Disparue du pays,2022-12-03,Nicrophorus americanus,Nécrophore d’Amérique,,Disparue du pays,2017-06-02,Annexe 1,2017-06-02,"Ontario, Québec",Arthropodes,,Ajout à la liste
Necture tacheté,,Non active,2023-12-01,Necturus maculosus,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario, Québec",Amphibiens,,
Necture tacheté,Population des Grands Lacs et du Saint-Laurent,Préoccupante,2023-12-01,Necturus maculosus,Necture tacheté,Population des Grands Lacs et du Saint-Laurent,Aucun statut,,Aucune annexe,,"Ontario, Québec",Amphibiens,Un ajout,En attente
Necture tacheté,Population du Manitoba,Menacée,2023-12-01,Necturus maculosus,Necture tacheté,Population du Manitoba,Aucun statut,,Aucune annexe,,Manitoba,Amphibiens,Un ajout,En attente
Néphrome cryptique,,Menacée,2019-05-03,Nephroma occultum,Néphrome cryptique,,Préoccupante,,Annexe 1,2007-12-13,Colombie-Britannique,Lichens,Changement de statut,En attente
Noctuelle d'Edwards,,En voie de disparition,2021-05-05,Anarta edwardsii,Noctuelle d'Edwards,,En voie de disparition,2011-02-04,Annexe 1,2011-02-04,Colombie-Britannique,Arthropodes,,Ajout à la liste
Noctuelle de l'abronie,,En voie de disparition,2013-11-01,Copablepharon fuscum,Noctuelle de l'abronie,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Arthropodes,,Ajout à la liste
Noctuelle jaune du bassin Columbia,,Données insuffisantes,2017-04-28,Copablepharon absidum,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,,
Noctuelle jaune pâle des dunes,,Préoccupante,2018-11-01,Copablepharon grandis,Noctuelle jaune pâle des dunes,,Préoccupante,2010-02-23,Annexe 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropodes,,Ajout à la liste
Noctuelle sombre des dunes,,Menacée,2022-05-11,Copablepharon longipenne,Noctuelle sombre des dunes,,En voie de disparition,,Annexe 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropodes,Changement de statut,En attente
Noyer cendré,,En voie de disparition,2017-04-28,Juglans cinerea,Noyer cendré,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,"Nouveau-Brunswick, Ontario, Québec",Plantes vasculaires,,Ajout à la liste
Nyctale de Tengmalm,,Non en péril,1995-04-01,Aegolius funereus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Obliquaire à trois cornes,,Menacée,2013-05-03,Obliquaria reflexa,Obliquaire à trois cornes,,Menacée,2019-08-08,Annexe 1,2019-08-08,Ontario,Mollusques,,Ajout à la liste
Obovarie olivâtre,,En voie de disparition,2011-05-06,Obovaria olivaria,Obovarie olivâtre,,En voie de disparition,2019-08-08,Annexe 1,2019-08-08,"Ontario, Québec",Mollusques,,Ajout à la liste
