Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Baleine grise,Population de l'Atlantique,Disparue,2022-05-11,Eschrichtius robustus,Baleine grise,Population de l'Atlantique,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Océan Atlantique,Mammifères marins,,Ajout à la liste
Baleine grise,Population du groupe s’alimentant le long de la côte du Pacifique,En voie de disparition,2017-11-01,Eschrichtius robustus,Baleine grise,Population du groupe s’alimentant le long de la côte du Pacifique,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,Un ajout,En attente
Baleine grise,Population du Pacifique Nord-Est,Non active,2017-11-01,Eschrichtius robustus,Baleine grise,Population du Pacifique Nord-Est,Préoccupante,2005-07-14,Annexe 1,2005-07-14,"Colombie-Britannique, Océan Arctique, Océan Pacifique, Territoires-du-Nord-Ouest, Yukon",Mammifères marins,,Ajout à la liste
Baleine grise,Population du Pacifique Ouest,En voie de disparition,2017-11-01,Eschrichtius robustus,Baleine grise,Population du Pacifique Ouest,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,Un ajout,En attente
Baleine grise,Population migratrice du Pacifique Nord,Non en péril,2017-11-01,Eschrichtius robustus,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Arctique, Océan Pacifique, Territoires-du-Nord-Ouest, Yukon",Mammifères marins,,
Baleine noire,,Non active,2003-05-01,Eubalaena glacialis,Baleine noire,,,,,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Baleine noire de l'Atlantique Nord,,En voie de disparition,2013-11-01,Eubalaena glacialis,Baleine noire de l'Atlantique Nord,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Océan Atlantique,Mammifères marins,,Ajout à la liste
Baleine noire du Pacifique Nord,,En voie de disparition,2015-05-01,Eubalaena japonica,Baleine noire du Pacifique Nord,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Océan Pacifique,Mammifères marins,,Ajout à la liste
Balsamorhize à feuilles deltoïdes,,En voie de disparition,2009-04-26,Balsamorhiza deltoidea,Balsamorhize à feuilles deltoïdes,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Bar rayé,Population de la baie de Fundy,En voie de disparition,2012-11-25,Morone saxatilis,Bar rayé,Population de la baie de Fundy,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique",Poissons d'eau douce,Un ajout,En attente
